Transaction_ID,Customer_ID,SKU,Units_Sold,Unit_Price,Transaction_Date
10191,107,SKU-099,9,570.01,2024-10-04
10192,110,SKU-064,19,415.66,2024-07-28
10193,355,SKU-091,6,,2024-08-13
10194,210,sku-016,6,75.61,2024-04-23
10195,398,SKU-055,15,163.81,2024-05-04
10196,157,SKU-049,16,394.2,2024-06-16
10197,250,SKU-000,17,411.28,2024-08-23
10198,45,SKU-087,15,,2024-01-08
10199,355,SKU-061,14,385.2,2024-04-20
10200,377,SKU-012,10,90.81,2024-06-18
10201,418,SKU-022,13,621.37,2024-08-10
10202,178,SKU-047,11,50.82,2024-03-14
10203,122,SKU-045,13,108.37,2024-10-08
10204,2,SKU-062,1,379.66,2024-06-14
10205,212,SKU-050,18,372.41,2024-10-26
10206,445,SKU-008,12,116.01,2024-08-21
10207,30,SKU-012,1,110.44,2024-02-17
10208,416,SKU-060,9,444.25,2024-06-05
10209,340,SKU-048,18,328.65,2024-01-03
10210,366,SKU-038,6,48.0,2024-10-03
10211,370,SKU-030,11,580.58,2024-06-02
10212,327,SKU-029,18,230.66,2024-05-28
10213,112,SKU-087,20,717.77,2024-08-24
10214,2,SKU-064,15,457.01,2024-07-19
10215,245,SKU-072,13,232.12,2024-04-09
10216,386,SKU-095,9,490.35,2024-11-19
10217,351,SKU-020,11,307.73,2024-07-19
10218,167,SKU-083,18,557.21,2024-04-15
10219,4,SKU-063,19,711.84,2024-03-16
10220,406,SKU-027,13,656.84,2024-01-28
10221,236,SKU-025,11,473.27,2024-10-04
10222,240,SKU-040,4,238.91,2024-08-19
10223,207,SKU-048,15,364.5,2024-02-19
10224,365,SKU-043,1,563.67,2024-11-06
10225,406,SKU-007,17,622.88,2024-05-29
10226,203,SKU-032,3,25.4,2024-11-26
10227,437,SKU-070,16,487.23,2024-08-23
10228,162,SKU-071,7,692.98,2024-07-15
10229,22,SKU-081,3,358.57,2024-03-31
10230,261,SKU-076,16,389.53,2024-04-01
10231,206,SKU-017,15,156.72,2024-06-04
10232,202,SKU-056,10,365.14,2024-11-25
10233,125,SKU-055,16,177.41,2024-10-30
10234,351,SKU-096,10,397.46,2024-10-06
10235,252,SKU-086,3,,2024-09-23
10236,215,SKU-007,20,765.95,2024-07-07
10237,66,SKU-087,9,733.18,2024-12-21
10238,386,SKU-096,1,293.87,2024-04-18
10239,279,SKU-068,10,302.57,2024-03-30
10240,30,SKU-080,4,687.54,2024-08-07
10241,175,SKU-096,19,315.99,2024-07-27
10242,9,SKU-008,3,120.45,2024-01-20
10243,318,SKU-079,4,364.26,2024-07-10
10244,407,SKU-027,13,576.68,2024-05-28
10245,144,SKU-065,10,93.93,2024-01-09
10246,24,SKU-085,9,237.27,2024-09-01
10247,389,SKU-023,6,49.73,2024-08-03
10248,420,SKU-041,17,460.39,2024-08-05
10249,159,SKU-055,11,165.54,2024-11-29
10250,45,SKU-060,3,410.37,2024-01-08
10251,397,SKU-003,4,109.11,2024-03-13
10252,290,SKU-018,10,213.94,2024-11-21
10253,217,SKU-051,11,613.84,2024-07-16
10254,307,SKU-081,6,309.76,2024-06-07
10255,371,SKU-025,2,505.61,2024-06-18
10256,268,SKU-077,14,534.9,2024-08-03
10257,180,SKU-069,16,179.03,2024-11-21
10258,318,SKU-077,8,464.81,2024-12-21
10259,86,SKU-087,15,690.32,2024-03-26
10260,0,SKU-054,13,302.76,2024-03-08
10261,177,SKU-089,17,295.47,2024-07-28
10262,100,SKU-004,5,296.11,2024-11-01
10263,388,SKU-039,11,672.99,2024-10-14
10264,69,sku-059,14,520.77,2024-07-07
10265,309,SKU-007,3,714.72,2024-10-19
10266,318,SKU-042,18,558.83,2024-08-06
10267,25,SKU-037,16,829.11,2024-01-02
10268,388,SKU-003,3,109.23,2024-09-04
10269,118,SKU-049,5,499.6,2024-03-01
10270,224,SKU-001,6,188.51,2024-05-10
10271,352,SKU-088,15,455.43,2024-07-29
10272,425,SKU-003,4,114.64,2024-08-23
10273,305,SKU-019,3,,2024-11-05
10274,254,SKU-017,15,123.03,2024-04-03
10275,390,SKU-094,7,,2024-09-04
10276,8,sku-016,20,72.44,2024-09-16
10277,344,SKU-039,14,571.39,2024-11-03
10278,259,SKU-033,17,715.66,2024-07-20
10279,381,SKU-027,10,730.04,2024-01-16
10280,257,SKU-038,14,37.47,2024-10-21
10281,116,SKU-010,17,448.98,2024-03-28
10282,94,SKU-028,3,780.73,2024-02-02
10283,253,SKU-010,13,543.45,2024-08-01
10284,440,SKU-090,5,552.86,2024-04-27
10285,46,SKU-069,2,166.13,2024-02-25
10286,276,SKU-017,7,136.22,2024-03-06
10287,153,SKU-048,12,350.83,2024-02-12
10288,211,SKU-077,15,447.61,2024-11-19
10289,29,SKU-000,5,395.68,2024-12-06
10290,409,SKU-053,4,366.04,2024-12-20
10291,377,SKU-006,16,582.26,2024-06-19
10292,157,SKU-049,11,413.67,2024-01-09
10293,140,SKU-041,18,504.6,2024-08-10
10294,17,sku-016,11,77.4,2024-04-20
10295,67,SKU-097,17,714.6,2024-01-27
10296,387,SKU-034,18,581.52,2024-06-08
10297,19,SKU-053,2,399.19,2024-06-11
10298,318,SKU-062,8,403.64,2024-03-10
10299,371,SKU-077,18,505.31,2024-11-10
10300,273,SKU-060,15,416.59,2024-02-29
10301,402,SKU-004,20,247.78,2024-12-24
10302,343,SKU-007,14,742.73,2024-03-08
10303,245,SKU-048,6,325.84,2024-06-02
10304,267,SKU-034,17,777.41,2024-11-11
10305,281,SKU-034,14,695.35,2024-04-28
10306,293,SKU-051,11,605.75,2024-08-13
10307,270,SKU-091,6,,2024-06-30
10308,440,SKU-077,8,495.27,2024-10-03
10309,126,SKU-013,13,197.08,2024-05-22
10310,320,SKU-065,13,130.59,2024-09-08
10311,101,SKU-087,2,507.09,2024-02-12
10312,222,SKU-014,9,,2024-03-30
10313,86,SKU-011,10,478.45,2024-12-26
10314,95,SKU-055,20,166.64,2024-06-10
10315,301,SKU-070,2,516.44,2024-06-07
10316,82,SKU-085,15,194.56,2024-12-02
10317,152,SKU-078,4,670.79,2024-10-23
10318,368,SKU-021,20,532.67,2024-07-20
10319,24,SKU-032,14,24.99,2024-11-27
10320,360,SKU-048,14,374.93,2024-03-18
10321,435,sku-009,18,546.99,2024-01-13
10322,148,SKU-032,6,22.7,2024-05-01
10323,197,SKU-034,3,829.44,2024-11-23
10324,370,SKU-020,5,266.69,2024-06-27
10325,296,SKU-054,12,215.54,2024-01-09
10326,75,SKU-026,19,329.18,2024-12-23
10327,75,SKU-037,14,850.82,2024-01-27
10328,64,SKU-084,8,412.17,2024-09-09
10329,323,SKU-068,6,419.64,2024-05-05
10330,67,SKU-083,16,550.59,2024-09-11
10331,6,SKU-042,14,454.77,2024-02-12
10332,342,SKU-099,6,559.17,2024-06-27
10333,304,SKU-047,17,47.74,2024-10-18
10334,215,SKU-084,4,,2024-07-18
10335,195,SKU-071,16,537.41,2024-08-05
10336,177,SKU-092,2,89.23,2024-03-23
10337,355,SKU-038,10,43.19,2024-09-15
10338,34,SKU-094,18,338.05,2024-10-07
10339,313,SKU-060,11,469.73,2024-03-31
10340,58,SKU-070,18,583.2,2024-10-11
10341,108,SKU-090,1,542.45,2024-05-13
10342,179,SKU-060,18,375.03,2024-01-03
10343,259,SKU-000,12,466.84,2024-07-06
10344,196,SKU-032,18,,2024-04-10
10345,108,SKU-001,3,156.28,2024-05-08
10346,350,sku-009,4,522.59,2024-01-22
10347,168,SKU-091,2,353.37,2024-02-28
10348,299,sku-005,7,447.44,2024-12-02
10349,378,SKU-020,6,336.76,2024-01-11
10350,190,SKU-027,12,547.95,2024-02-26
10351,298,SKU-096,4,362.74,2024-02-28
10352,53,sku-009,14,462.15,2024-11-29
10353,66,SKU-020,6,322.01,2024-06-06
10354,111,SKU-048,3,271.66,2024-03-04
10355,425,SKU-000,18,361.13,2024-09-28
10356,309,sku-067,7,704.79,2024-01-17
10357,234,SKU-078,3,787.36,2024-05-15
10358,102,SKU-017,5,158.87,2024-12-06
10359,349,SKU-065,1,126.56,2024-07-19
10360,186,SKU-007,2,716.54,2024-10-03
10361,135,SKU-023,17,58.33,2024-06-20
10362,106,SKU-052,12,285.72,2024-12-10
10363,35,SKU-095,2,629.19,2024-10-22
10364,427,SKU-004,6,343.77,2024-09-11
10365,281,SKU-050,7,385.72,2024-11-30
10366,304,sku-016,13,59.74,2024-10-30
10367,383,SKU-037,8,845.18,2024-01-08
10368,8,SKU-069,13,187.69,2024-10-25
10369,266,SKU-054,17,284.81,2024-09-15
10370,32,SKU-012,7,93.0,2024-02-07
10371,342,SKU-048,10,303.95,2024-03-29
10372,445,SKU-053,16,343.76,2024-04-14
10373,118,SKU-041,10,537.13,2024-09-22
10374,2,SKU-050,4,,2024-09-08
10375,251,SKU-080,4,534.56,2024-01-01
10376,390,SKU-034,19,669.35,2024-02-25
10377,110,SKU-085,8,213.83,2024-10-14
10378,305,SKU-090,4,530.89,2024-09-07
10379,185,SKU-076,16,341.53,2024-02-03
10380,333,SKU-090,3,527.23,2024-11-03
10381,402,SKU-004,5,321.84,2024-03-28
10382,348,SKU-096,3,377.55,2024-06-04
10383,355,SKU-021,20,660.49,2024-04-30
10384,267,SKU-033,20,593.21,2024-04-18
10385,257,SKU-091,2,348.12,2024-12-19
10386,73,SKU-098,1,428.82,2024-06-28
10387,428,SKU-081,14,277.24,2024-04-07
10388,82,SKU-072,20,195.53,2024-03-22
10389,194,SKU-013,1,205.62,2024-05-23
10390,287,SKU-079,4,,2024-08-25
10391,116,SKU-077,20,423.3,2024-11-08
10392,333,SKU-008,12,108.03,2024-06-25
10393,412,SKU-017,1,160.76,2024-01-08
10394,356,SKU-090,4,583.14,2024-01-29
10395,25,SKU-073,10,455.78,2024-04-08
10396,414,sku-009,18,498.34,2024-01-10
10397,163,SKU-060,16,362.56,2024-11-07
10398,272,SKU-029,1,317.74,2024-09-09
10399,362,SKU-035,11,11.27,2024-01-10
10400,267,SKU-081,19,259.36,2024-07-21
10401,97,SKU-093,12,305.72,2024-05-17
10402,295,SKU-042,12,526.8,2024-06-03
10403,85,SKU-021,9,526.68,2024-11-14
10404,442,SKU-026,9,350.67,2024-03-18
10405,448,SKU-030,6,584.36,2024-07-14
10406,101,SKU-055,2,182.8,2024-04-30
10407,400,SKU-055,2,168.86,2024-10-30
10408,50,SKU-048,5,316.53,2024-11-16
10409,407,SKU-012,15,,2024-07-22
10410,187,SKU-039,17,716.36,2024-01-04
10411,408,SKU-039,2,733.22,2024-12-25
10412,66,SKU-095,10,642.83,2024-07-21
10413,368,SKU-093,15,366.34,2024-11-08
10414,44,sku-005,2,416.95,2024-03-01
10415,113,SKU-051,3,745.39,2024-05-08
10416,359,SKU-018,10,212.88,2024-07-09
10417,233,SKU-077,1,503.07,2024-06-17
10418,202,SKU-072,10,220.95,2024-01-28
10419,412,SKU-015,11,692.79,2024-03-02
10420,309,sku-009,13,513.11,2024-12-22
10421,239,SKU-088,2,499.25,2024-06-25
10422,124,SKU-027,18,639.01,2024-11-19
10423,228,SKU-051,13,553.09,2024-07-03
10424,408,SKU-033,19,665.34,2024-12-04
10425,315,SKU-024,16,674.72,2024-06-23
10426,186,SKU-038,2,42.91,2024-02-18
10427,250,SKU-082,7,325.66,2024-07-12
10428,269,SKU-096,2,392.26,2024-04-28
10429,174,SKU-035,5,11.78,2024-11-18
10430,338,SKU-084,12,,2024-09-13
10431,288,SKU-087,2,703.41,2024-09-19
10432,338,SKU-085,19,161.97,2024-03-23
10433,100,SKU-035,2,11.97,2024-05-16
10434,443,SKU-008,19,142.05,2024-04-15
10435,41,SKU-037,4,,2024-09-26
10436,130,SKU-000,9,372.99,2024-11-26
10437,61,SKU-014,16,366.75,2024-03-04
10438,259,SKU-086,6,639.05,2024-12-01
10439,438,SKU-090,4,732.77,2024-08-22
10440,90,SKU-088,4,503.73,2024-08-26
10441,62,SKU-051,7,711.0,2024-10-16
10442,371,SKU-080,16,602.53,2024-04-11
10443,222,SKU-024,5,683.24,2024-03-17
10444,121,SKU-097,15,668.78,2024-08-19
10445,306,SKU-018,9,166.1,2024-12-18
10446,346,SKU-058,15,387.97,2024-04-14
10447,401,SKU-056,17,370.39,2024-11-10
10448,261,SKU-001,13,162.04,2024-05-15
10449,326,SKU-029,10,340.02,2024-05-17
10450,381,SKU-097,4,819.26,2024-06-14
10451,145,SKU-014,6,263.44,2024-04-22
10452,416,SKU-044,3,511.66,2024-02-23
10453,101,SKU-037,9,796.53,2024-05-21
10454,169,SKU-019,9,136.42,2024-10-08
10455,18,SKU-035,6,13.36,2024-12-08
10456,383,SKU-026,13,324.4,2024-07-02
10457,324,SKU-060,20,452.58,2024-02-05
10458,271,sku-009,5,468.11,2024-06-27
10459,83,SKU-021,12,485.53,2024-04-01
10460,393,SKU-014,5,300.47,2024-05-21
10461,91,SKU-041,16,623.74,2024-03-19
10462,47,SKU-050,18,353.7,2024-07-17
10463,74,SKU-087,11,538.33,2024-12-23
10464,53,SKU-044,3,483.03,2024-08-30
10465,114,SKU-015,19,699.63,2024-01-22
10466,436,SKU-051,4,601.07,2024-02-21
10467,135,SKU-082,5,280.01,2024-06-04
10468,362,SKU-078,16,580.51,2024-03-12
10469,108,SKU-080,20,508.02,2024-10-13
10470,66,SKU-089,2,,2024-02-03
10471,256,SKU-088,15,444.02,2024-07-09
10472,228,SKU-004,11,264.64,2024-08-01
10473,122,SKU-085,13,220.07,2024-05-15
10474,43,SKU-092,12,92.78,2024-08-05
10475,3,SKU-041,14,524.13,2024-10-23
10476,206,SKU-029,2,295.23,2024-11-04
10477,410,SKU-001,16,222.25,2024-03-01
10478,185,SKU-058,19,308.57,2024-03-08
10479,364,SKU-026,3,326.22,2024-10-10
10480,417,SKU-083,17,765.96,2024-10-24
10481,161,SKU-063,9,597.64,2024-03-14
10482,131,SKU-023,5,66.79,2024-08-24
10483,176,SKU-003,20,113.58,2024-01-03
10484,6,SKU-065,13,124.24,2024-07-12
10485,405,SKU-050,9,397.87,2024-04-24
10486,389,SKU-072,20,172.32,2024-12-27
10487,406,SKU-080,9,539.31,2024-01-26
10488,208,SKU-019,2,130.88,2024-11-16
10489,102,SKU-068,3,394.16,2024-06-04
10490,333,SKU-070,19,668.42,2024-05-27
10491,24,SKU-095,13,527.85,2024-09-21
10492,122,SKU-093,14,298.64,2024-07-10
10493,366,SKU-050,7,357.4,2024-09-09
10494,323,SKU-098,18,411.76,2024-09-04
10495,249,SKU-065,9,99.43,2024-11-09
10496,233,SKU-048,12,325.15,2024-10-17
10497,391,SKU-023,8,57.72,2024-11-15
10498,366,SKU-089,7,259.43,2024-06-21
10499,46,SKU-026,13,283.3,2024-05-04
10500,286,SKU-081,5,297.18,2024-02-08
10501,119,SKU-085,14,179.56,2024-09-08
10502,235,SKU-030,20,652.64,2024-11-19
10503,149,SKU-078,6,696.94,2024-09-13
10504,58,SKU-012,4,96.2,2024-04-15
10505,25,SKU-086,9,643.66,2024-01-18
10506,213,SKU-061,1,393.22,2024-02-24
10507,416,SKU-040,10,249.28,2024-10-16
10508,154,SKU-082,5,267.09,2024-06-11
10509,413,SKU-071,3,720.9,2024-11-12
10510,169,SKU-063,7,709.22,2024-08-14
10511,174,SKU-039,2,652.96,2024-09-07
10512,110,SKU-008,11,155.38,2024-01-09
10513,168,SKU-001,10,170.32,2024-11-28
10514,302,SKU-010,19,,2024-06-08
10515,203,sku-067,11,735.03,2024-04-15
10516,116,SKU-073,14,480.55,2024-03-01
10517,183,SKU-034,5,570.6,2024-09-20
10518,194,SKU-085,10,233.34,2024-08-29
10519,3,SKU-080,18,529.02,2024-09-16
10520,176,SKU-008,6,128.05,2024-12-22
10521,125,SKU-073,19,436.02,2024-03-03
10522,196,sku-016,13,76.24,2024-05-01
10523,348,SKU-020,7,356.81,2024-08-09
10524,78,SKU-098,12,379.27,2024-11-23
10525,257,SKU-003,12,,2024-05-04
10526,29,SKU-046,15,85.56,2024-11-19
10527,141,sku-016,8,76.5,2024-02-17
10528,287,SKU-048,2,337.32,2024-06-02
10529,220,SKU-006,19,746.49,2024-08-14
10530,437,SKU-074,19,509.44,2024-05-16
10531,68,SKU-060,10,432.15,2024-05-01
10532,172,SKU-006,15,616.79,2024-06-14
10533,334,SKU-024,4,727.45,2024-09-15
10534,27,SKU-062,3,305.95,2024-05-26
10535,138,SKU-030,18,563.46,2024-10-20
10536,59,SKU-078,16,803.14,2024-02-21
10537,191,SKU-036,5,413.49,2024-06-08
10538,111,SKU-094,2,367.73,2024-07-20
10539,103,sku-067,19,769.5,2024-06-15
10540,186,SKU-001,13,171.16,2024-08-01
10541,72,SKU-036,10,416.12,2024-01-19
10542,131,SKU-033,18,773.17,2024-04-21
10543,193,SKU-087,8,563.43,2024-02-14
10544,241,SKU-093,10,,2024-10-23
10545,257,SKU-014,9,372.91,2024-03-28
10546,40,SKU-098,7,,2024-09-21
10547,6,SKU-037,11,634.31,2024-02-04
10548,356,SKU-000,4,439.11,2024-08-12
10549,140,SKU-008,4,150.89,2024-02-27
10550,106,SKU-004,8,245.0,2024-02-08
10551,111,SKU-079,8,323.43,2024-04-11
10552,318,SKU-034,16,568.68,2024-10-29
10553,425,SKU-092,5,92.84,2024-10-26
10554,69,SKU-033,20,671.28,2024-11-08
10555,160,SKU-097,2,737.5,2024-03-04
10556,274,SKU-099,11,590.29,2024-01-15
10557,70,SKU-053,9,398.87,2024-06-10
10558,383,SKU-081,10,331.34,2024-09-26
10559,158,SKU-076,16,470.74,2024-04-24
10560,101,SKU-082,7,333.58,2024-05-14
10561,219,SKU-041,13,506.64,2024-11-28
10562,252,SKU-093,14,425.02,2024-08-10
10563,104,SKU-037,18,835.78,2024-01-02
10564,224,SKU-060,15,459.04,2024-10-26
10565,345,SKU-004,6,274.75,2024-01-28
10566,342,SKU-054,16,240.01,2024-12-07
10567,147,SKU-022,12,601.38,2024-10-20
10568,15,SKU-036,5,390.25,2024-08-06
10569,183,SKU-036,7,370.63,2024-02-14
10570,299,SKU-065,5,91.86,2024-11-12
10571,100,SKU-027,13,559.98,2024-02-22
10572,296,SKU-022,18,705.84,2024-10-10
10573,386,SKU-080,15,610.75,2024-09-27
10574,209,SKU-095,8,514.92,2024-04-08
10575,335,SKU-026,9,344.05,2024-02-08
10576,292,SKU-036,14,323.06,2024-03-11
10577,83,SKU-082,7,353.31,2024-10-16
10578,224,SKU-073,3,461.12,2024-12-05
10579,17,SKU-036,2,306.49,2024-05-26
10580,387,SKU-028,1,,2024-12-24
10581,271,SKU-029,13,329.28,2024-07-20
10582,344,SKU-093,16,352.76,2024-11-27
10583,272,SKU-038,12,,2024-08-30
10584,98,SKU-087,12,736.96,2024-12-23
